repo,pr_id,pr_title,comment_id,created_date,file_path,line_from,line_to,severity,comment_text,reactions_positive,reactions_negative,reactions_other,reactions_detail,replies_count,replies
MCPN/cpnadminservice,430,Bug/MCPN-1262: add status changing for sbol order number,1144059,2026-03-31,src/test/java/ru/spasibosberbank/cpnadminservice/service/admin/impl/PromocodeAdminServiceTest.java,187,187,NORMAL,"**Suggestion:** Verify that the boolean parameter passed to `prolongationCount` accurately reflects the intended business logic. If changing from `false` to `true` impacts system behavior significantly, ensure comprehensive testing covers these changes.
Document why this change was made in the test case comments for future maintainability. [possible issue, importance: 7]


```diff
-verify(mockMarkingService).prolongationCount(List.of(String.valueOf(offerId)), true, null, null);
 
+
```",1,0,0,"{""thumbsup"": 1}",0,[]
MCPN/cpnadminservice,430,Bug/MCPN-1262: add status changing for sbol order number,1144058,2026-03-31,src/main/java/ru/spasibosberbank/cpnadminservice/service/promocode/impl/PromocodeProcessingServiceImpl.java,145,145,NORMAL,"**Suggestion:** Ensure that logging occurs before any early returns to capture all relevant information about the request processing flow. This helps in debugging and monitoring the application's behavior under various conditions.
Consider moving this log statement outside the conditional block if it provides value regardless of subsequent validation outcomes. [general, importance: 3]


```diff
-log.info(LogType.OTHER, ""Report type: {}"", reportType.getCode());
 
-      if ((filterBuilder.getMarkingCode() == null || filterBuilder.getMarkingCode().isEmpty()) &&
-          (filterBuilder.getBatchIds() == null || filterBuilder.getBatchIds().isEmpty()) &&
-          (filterBuilder.getProductIds() == null || filterBuilder.getProductIds().isEmpty()) &&
```",0,1,0,"{""-1"": 1}",0,[]
MCPN/cpnadminservice,430,Bug/MCPN-1262: add status changing for sbol order number,1144057,2026-03-31,src/main/java/ru/spasibosberbank/cpnadminservice/service/utils/PromocodeExportHelper.java,38,38,NORMAL,"**Suggestion:** The condition checking for issued filters may lead to incorrect status assignment. Specifically, if `orderNumber` is present but other fields like `sbolOrderNumber` are also present, the logic might incorrectly classify the request. Consider refining the conditional logic to ensure mutually exclusive or properly prioritized checks for different order number types.
Additionally, consider adding unit tests to cover scenarios where multiple filter types are present to validate correct behavior. [general, importance: 5]


```diff
-//If filter contains issued filters - change filter to 'ISSUED'
-      if ((promocodeExportFilter.orderNumber() != null && !promocodeExportFilter.orderNumber().isBlank()) ||
-          (promocodeExportFilter.customerId() != null && !promocodeExportFilter.customerId().isBlank()) ||
-          (promocodeExportFilter.sbolOrderNumber() != null && !promocodeExportFilter.sbolOrderNumber().isBlank()) ||
-          promocodeExportFilter.saleDatetimeFrom() != null || promocodeExportFilter.saleDatetimeTo() != null
-      ) {
-          status = ReportStockType.ISSUED.getCode();
-          log.info(LogType.STATE, ""Report status changed to: {}"", status);
-      }
 
+
```",0,1,0,"{""-1"": 1}",0,[]
MCPN/cpnadminservice,430,Bug/MCPN-1262: add status changing for sbol order number,1144056,2026-03-31,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 2 🔵🔵⚪⚪⚪

### 🧪 PR contains tests

### 🔒 No security concerns identified

### ⚡ Recommended focus areas for review

#### 
[**Logic Change**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/cpnadminservice/pull-requests/430/diff#src%2Fmain%2Fjava%2Fru%2Fspasibosberbank%2Fcpnadminservice%2Fservice%2Futils%2FPromocodeExportHelper.java?t=38)

The logic for determining the promocode status has been updated to include `sbolOrderNumber` and `customerId` in the condition for setting the status to 'ISSUED'. Ensure this change aligns with business requirements and does not inadvertently affect other functionalities.



[**Logging Consistency**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/cpnadminservice/pull-requests/430/diff#src%2Fmain%2Fjava%2Fru%2Fspasibosberbank%2Fcpnadminservice%2Fservice%2Fpromocode%2Fimpl%2FPromocodeProcessingServiceImpl.java?t=146)

A log statement was moved and changed from `LogType.INTEGRATION` to `LogType.OTHER`. Verify that this change in logging level and type is intentional and consistent with the overall logging strategy.



[**Dependency Updates**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/cpnadminservice/pull-requests/430/diff#pom.xml?t=13)

Several dependencies including Spring Boot and PostgreSQL driver versions have been updated. Confirm that these updates do not introduce compatibility issues or regressions.



",0,0,0,{},0,[]
BILT/fde-dispatcher,58,BILT-588 - some minor fixes for stable operation,1143848,2026-03-31,src/main/resources/application.yaml,87,87,NORMAL,"**Suggestion:** Verify that ignoring `ExecutorBusinessException` in the circuit breaker configuration aligns with the intended fault tolerance strategy. Ensure this exception represents genuine business logic errors that should not count as failures for circuit breaking purposes.
Consider adding comments to clarify why this exception is ignored, especially if it's not obvious from the class name alone. [general, importance: 7]


```diff
 resilience4j:
   circuitbreaker:
     instances:
       executor:
         registerHealthIndicator: true
         slidingWindowSize: 10
         minimumNumberOfCalls: 5
         failureRateThreshold: 50
         waitDurationInOpenState: ${CIRCUIT_BREAKER_WAIT_DURATION:60s}
+        # Ignoring business exceptions to prevent circuit breaker from opening on expected failures
         ignoreExceptions:
           - ru.spasibo.bilt.fdedispatcher.domain.port.ExecutorPort$ExecutorBusinessException
```",0,0,0,{},1,"[{""author"": ""avryzhkov"", ""text"": ""Сам класс явно именован ExecutorBusinessException - достаточно очевидно что circuit breaker должен покрывать инфраструктурные ошибки, а не бизнесовые. Например 5 раз подряд 404 не должно открывать CB. \nСам агент говорит что Consider adding comments to clarify why this exception is ignored **, especially if it's not obvious from the class name alone. **  - но именование класса исключения довольно явное"", ""created_date"": 1774958282102}]"
BILT/fde-dispatcher,58,BILT-588 - some minor fixes for stable operation,1143847,2026-03-31,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 2 🔵🔵⚪⚪⚪

### 🧪 PR contains tests

### 🔒 No security concerns identified

### ⚡ Recommended focus areas for review

#### 
[**Configuration Change**](https://sberworks.ru/bitbucket-ci/projects/BILT/repos/fde-dispatcher/pull-requests/58/diff#src%2Fmain%2Fresources%2Fapplication.yaml?t=93)

The addition of `ignoreExceptions` for `ExecutorBusinessException` in the circuit breaker configuration should be verified to ensure it aligns with the intended error handling strategy and does not inadvertently suppress important failures.



[**URI Change**](https://sberworks.ru/bitbucket-ci/projects/BILT/repos/fde-dispatcher/pull-requests/58/diff#src%2Fmain%2Fjava%2Fru%2Fspasibo%2Fbilt%2Ffdedispatcher%2Fadapter%2Fout%2Fexecutor%2FExecutorAdapter.java?t=116)

The URI for the stop endpoint has been changed from `/api/v1/sessions/{sessionId}/stop` to `/api/v1/executions/{sessionId}/stop`. This change should be confirmed to be compatible with the executor service's API.



",0,0,0,{},0,[]
MCPN/cpnadminui,71,Bug/MCPN-1253: add search by partner crm id in coupon,1143757,2026-03-31,src/domain/entities/coupon.ts,496,496,NORMAL,"**Suggestion:** The `displayField` function for the `partner` relation currently only displays the `crm_id`. Consider including additional identifying information to improve clarity in the UI, such as the partner's name or ID. [general, importance: 5]


```diff
 relation: {
       entity: 'partner',
-      displayField: (value) => value.crm_id,
+      displayField: (value) => `${value.name || 'Partner'} [${value.crm_id}]`,
       multiple: false
   },
```",0,1,0,"{""-1"": 1}",1,"[{""author"": ""agtolstov"", ""text"": ""В данном случае неприменимо. фильтр по crm_id"", ""created_date"": 1774948877534}]"
MCPN/cpnadminui,71,Bug/MCPN-1253: add search by partner crm id in coupon,1143756,2026-03-31,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 3 🔵🔵🔵⚪⚪

### 🧪 No relevant tests

### 🔒 No security concerns identified

### ⚡ Recommended focus areas for review

#### 
[**Pagination Parameters**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/cpnadminui/pull-requests/71/diff#src%2Fcomposables%2FuseEntityForm.ts?t=783)

The code explicitly avoids sending pagination parameters for the 'partner' entity. Ensure this behavior is intentional and doesn't lead to performance issues or unexpected data loading behavior.



[**Validation Logic**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/cpnadminui/pull-requests/71/diff#src%2Fdomain%2Fentities%2Fcoupon.ts?t=62)

Custom validation logic has been updated to use `recordValue` instead of `values`. Verify that this change doesn't introduce any regressions in form validation.



[**Display Field Logic**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/cpnadminui/pull-requests/71/diff#src%2Fdomain%2Fentities%2Fcoupon.ts?t=97)

The `displayField` function now uses `value` instead of `values`. Confirm that this change aligns with the expected data structure and doesn't break the display of related entities.



",1,0,0,"{""thumbsup"": 1}",1,"[{""author"": ""agtolstov"", ""text"": ""Проверили, всё ок"", ""created_date"": 1774948930137}]"
MCPN/cpnadminservice,428,MCPN-1261: Fix pagination,1143307,2026-03-30,src/main/java/ru/spasibosberbank/cpnadminservice/service/admin/impl/PromocodeAdminService.java,111,111,NORMAL,"**Suggestion:** The offset calculation for pagination appears incorrect. It should multiply the page number by the limit (items per page) to determine the correct starting point. Verify that `promocodeListAdminDTO.page()` represents a zero-based page index. [possible issue, importance: 8]


```diff
-queryBuilder.setOffset(promocodeListAdminDTO.page());
+queryBuilder.setOffset((promocodeListAdminDTO.page() - 1) * promocodeListAdminDTO.perPage());
```",0,1,0,"{""-1"": 1}",1,"[{""author"": ""agtolstov"", ""text"": ""Игнорим, в данном случае это номер страницы"", ""created_date"": 1774862399630}]"
MCPN/cpnadminservice,428,MCPN-1261: Fix pagination,1143306,2026-03-30,,,,NORMAL,"## PR Reviewer Guide 🔍

Here are some key observations to aid the review process:

### ⏱️ Estimated effort to review: 2 🔵🔵⚪⚪⚪

### 🧪 No relevant tests

### 🔒 No security concerns identified

### ⚡ Recommended focus areas for review

#### 
[**Pagination Logic Error**](https://sberworks.ru/bitbucket-ci/projects/MCPN/repos/cpnadminservice/pull-requests/428/diff#src%2Fmain%2Fjava%2Fru%2Fspasibosberbank%2Fcpnadminservice%2Fservice%2Fadmin%2Fimpl%2FPromocodeAdminService.java?t=111)

The pagination offset is being set directly from the page number without multiplying by the page size. This will lead to incorrect pagination behavior where the offset does not correctly correspond to the intended page.



",0,0,0,{},0,[]
MCPN/cpnadminservice,429,MCPN-1263: Update data type to prevent rounding of identifiers,1143300,2026-03-30,src/main/java/ru/spasibosberbank/cpnadminservice/mapper/impl/OrderAdminMapper.java,57,57,NORMAL,"**Suggestion:** Using `Optional` explicitly instead of calling `.get()` directly on the stream result improves safety and readability. It avoids potential `NoSuchElementException` if the stream were unexpectedly empty. [possible issue, importance: 8]


```diff
-OrderItemEntity orderItemEntity = itemEntities.stream().findFirst().get();
-        offerIds.add(String.valueOf(orderItemEntity.getOfferId()));
+Optional<OrderItemEntity> firstItemOpt = itemEntities.stream().findFirst();
+        firstItemOpt.ifPresent(item -> offerIds.add(String.valueOf(item.getOfferId())));
```",0,1,0,"{""thumbsdown"": 1}",1,"[{""author"": ""agtolstov"", ""text"": ""есть проверка в коде выше"", ""created_date"": 1774861939829}]"
